POS,Player,Mat,Inns,Ov,Wkts,Runs,BBI,Avg,Econ,SR,4w,5w,year
65,Deepak HoodaRR,14,7,15,1,129,16-Feb,129,8.5,91,0,0,2015
66,Thisara PereraPBKS,2,2,6,1,55,20-Mar,55,9.16,36,0,0,2015
67,Yuvraj SinghDC,14,6,9,1,72,29-Apr,72,8,54,0,0,2015
68,Abu NechimRCB,3,3,12,1,128,27-Feb,128,10.66,72,0,0,2015
69,Dwayne SmithCSK,16,1,2,1,17,8-Apr,17,8.5,12,0,0,2015
70,Shivam SharmaPBKS,1,1,3,1,44,26-Feb,44,14.66,18,0,0,2015
71,Gurinder SandhuDC,3,2,8,1,82,Jan-33,82,10.25,48,0,0,2015
72,Shreyas GopalMI,1,1,2,1,23,16-Apr,23,10.61,13,0,0,2015
73,Parveez RasoolSRH,2,2,5,1,31,20-Jan,31,6.2,30,0,0,2015
74,Shardul ThakurPBKS,1,1,3,1,38,19-Mar,38,12.66,18,0,0,2015
75,Hardik PandyaMI,9,8,17,1,176,20-Mar,176,10.35,102,0,0,2015
76,Ishant SharmaSRH,4,4,14,1,159,12-May,159,11.35,84,0,0,2015
77,Ronit MoreCSK,2,2,6,1,59,31-Jan,59,10.11,35,0,0,2015
78,Rishi DhawanPBKS,5,5,12,1,110,14-Feb,110,9.16,72,0,0,2015
79,Johan BothaKKR,4,4,10,1,81,6-Mar,81,8.1,60,0,0,2015
80,Rahul TewatiaRR,1,1,3,1,31,18-Mar,31,10.33,18,0,0,2015
81,Juan TheronRR,1,1,4,1,40,17-Feb,40,10,24,0,0,2015
82,Karanveer SinghPBKS,4,4,14,1,157,Apr-54,157,11.21,84,0,0,2015
83,KC CariappaKKR,1,1,2,1,28,16-Feb,28,14,12,0,0,2015
84,Pat CumminsKKR,3,3,10,1,97,Apr-34,97,9.7,60,0,0,2015
1,Mohit SharmaCSK,16,16,54,23,452,14-Apr,19.65,8.39,14.04,1,0,2014
2,Sunil NarineKKR,16,16,64,21,407,19-May,19.38,6.35,18.28,2,0,2014
3,Bhuvneshwar KumarSRH,14,14,53,20,354,19-May,17.7,6.65,15.95,1,0,2014
4,Ravindra JadejaCSK,16,16,54,19,443,16-May,23.31,8.15,17.15,2,0,2014
5,Sandeep SharmaPBKS,11,11,40,18,354,20-Apr,19.66,8.81,13.38,0,0,2014
6,Mitchell JohnsonPBKS,14,14,53,17,444,26-Mar,26.11,8.29,18.88,0,0,2014
7,Axar PatelPBKS,17,17,66,17,405,21-Apr,23.82,6.13,23.29,0,0,2014
8,Lasith MalingaMI,10,10,39,16,253,13-May,15.81,6.45,14.68,1,0,2014
9,Varun AaronRCB,10,10,36,16,299,16-Mar,18.68,8.15,13.75,0,0,2014
10,Ravichandran AshwinCSK,16,16,60,16,437,Apr-34,27.31,7.3,22.43,0,0,2014
11,Karn SharmaSRH,14,14,50,15,376,16-Apr,25.06,7.42,20.26,1,0,2014
12,Pravin TambeRR,13,13,49,15,356,20-Apr,23.73,7.26,19.6,1,0,2014
13,Harbhajan SinghMI,14,14,55,14,356,18-May,25.42,6.47,23.57,0,0,2014
14,Piyush ChawlaKKR,11,11,39,14,303,17-Apr,21.64,7.67,16.92,0,0,2014
15,Mitchell StarcRCB,14,14,53,14,402,15-Apr,28.71,7.49,23,0,0,2014
16,Rishi DhawanPBKS,13,13,47,13,365,14-Feb,28.07,7.71,21.84,0,0,2014
17,Rajat BhatiaRR,12,12,38,12,283,15-Apr,23.58,7.44,19,0,0,2014
18,Morne MorkelKKR,12,12,48,12,367,20-Apr,30.58,7.64,24,0,0,2014
19,Lakshmipathy BalajiPBKS,9,9,34,12,299,24-May,24.91,8.79,17,1,0,2014
20,Yuzvendra ChahalRCB,14,14,55,12,386,25-Apr,32.16,7.01,27.5,0,0,2014
21,Shakib Al HasanKKR,13,13,50,11,334,17-Mar,30.36,6.68,27.27,0,0,2014
22,James FaulknerRR,13,13,43,11,419,16-May,38.09,9.74,23.45,0,0,2014
23,Dale SteynSRH,14,14,56,11,431,11-Mar,39.18,7.69,30.54,0,0,2014
24,Umesh YadavKKR,12,12,45,11,367,24-Apr,33.36,8.15,24.54,0,0,2014
25,Karanveer SinghPBKS,5,5,20,11,164,Apr-54,14.9,8.2,10.9,1,0,2014
26,Imran TahirDC,6,6,21,9,171,12-Apr,19,8.2,13.88,0,0,2014
27,Jaydev UnadkatDC,9,9,31,9,270,25-May,30,8.66,20.77,0,0,2014
28,Kane RichardsonRR,7,7,27,9,206,13-Mar,22.88,7.62,18,0,0,2014
29,Ashish NehraCSK,4,4,15,8,142,10-Apr,17.75,9.46,11.25,0,0,2014
30,Shahbaz NadeemDC,11,11,38,8,311,16-Mar,38.87,8.18,28.5,0,0,2014
31,Ben HilfenhausCSK,8,8,28,8,246,27-Mar,30.75,8.78,21,0,0,2014
32,Parvinder AwanaPBKS,7,7,23,7,245,Apr-34,35,10.42,20.14,0,0,2014
33,Amit MishraSRH,10,10,37,7,340,17-May,48.57,9.06,32.14,0,0,2014
34,Mohammad ShamiDC,12,12,44,7,369,15-Mar,52.71,8.38,37.71,0,0,2014
35,Vinay KumarKKR,9,9,32,7,281,Apr-40,40.14,8.78,27.42,0,0,2014
36,Shane WatsonRR,13,9,21,7,165,29-Apr,23.57,7.85,18,0,0,2014
37,Shreyas GopalMI,4,4,14,6,113,16-Apr,18.83,8.07,14,0,0,2014
38,Ishwar PandeyCSK,13,12,42,6,318,23-Feb,53,7.57,42,0,0,2014
39,Wayne ParnellDC,8,8,30,6,223,27-Mar,37.16,7.39,30.16,0,0,2014
40,Dhawal KulkarniRR,8,8,27,6,221,14-Apr,36.83,8.18,27,0,0,2014
41,Yuvraj SinghRCB,14,10,22,5,187,29-Apr,37.4,8.25,27.2,1,0,2014
42,Zaheer KhanMI,6,6,22,5,146,17-Apr,29.2,6.53,26.8,0,0,2014
43,Jasprit BumrahMI,11,11,39,5,301,14-Apr,60.2,7.58,47.6,0,0,2014
44,Ashok DindaRCB,9,9,31,5,270,18-Apr,54,8.7,37.2,0,0,2014
45,Albie MorkelRCB,7,6,16,4,126,Apr-32,31.5,7.87,24,0,0,2014
46,Jacques KallisKKR,8,8,22,4,186,13-Mar,46.5,8.45,33,0,0,2014
47,Irfan PathanSRH,10,10,23,4,205,24-Mar,51.25,8.66,35.5,0,0,2014
48,Harshal PatelRCB,3,3,11,4,113,27-May,28.25,10.27,16.5,0,0,2014
49,Dwayne SmithCSK,16,5,10,4,95,8-Apr,23.75,9.5,15,0,0,2014
50,Corey AndersonMI,12,9,18,4,184,18-Feb,46,10.22,27,0,0,2014
51,Moises HenriquesSRH,4,4,10,4,96,12-Mar,24,9.6,15,0,0,2014
52,Kevon CooperRR,5,5,18,4,134,26-Apr,33.5,7.44,27,0,0,2014
53,Beuran HendricksPBKS,3,3,12,4,126,Mar-36,31.5,10.5,18,0,0,2014
54,Ankit SharmaRR,3,2,8,4,43,20-Feb,10.75,5.37,12,0,0,2014
55,Stuart BinnyRR,13,8,9,3,64,14-Feb,21.33,7.11,18,0,0,2014
56,Darren SammySRH,10,8,14,3,157,22-Apr,52.33,11.21,28,0,0,2014
57,Shivam SharmaPBKS,4,4,16,3,121,26-Feb,40.33,7.56,32,0,0,2014
58,Ishant SharmaSRH,3,3,11,3,101,12-May,33.66,9.18,22,0,0,2014
59,Abu NechimRCB,4,4,14,3,113,27-Feb,37.66,7.88,28.66,0,0,2014
60,Praveen KumarMI,3,3,12,3,78,18-Mar,26,6.5,24,0,0,2014
61,Muttiah MuralitharanRCB,5,5,16,3,124,11-Mar,41.33,7.75,32,0,0,2014
62,JP DuminyDC,14,11,33,3,240,17-Apr,80,7.27,66,0,0,2014
63,Krishmar SantokieMI,2,2,8,3,90,Feb-50,30,11.25,16,0,0,2014
64,Siddarth KaulDC,5,5,13,2,126,29-Apr,63,9.69,39,0,0,2014
65,Nathan Coulter-NileDC,2,1,4,2,27,14-Apr,13.5,6.75,12,0,0,2014
66,David HusseyCSK,5,1,3,2,38,2-Feb,19,13.41,8.5,0,0,2014
